PARAMETER,LAT,LON,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CLRSKY_SFC_SW_DWN,28.75,82.75,6.84,6.2,6.07,6.21,6.14,6.18,6.16,6.09,6.06,6.18,6.16,6.07,6.11,6.08,6.18,6.1,5.99,6.05,6.01,6.04,6.04
CLRSKY_SFC_SW_DWN,28.75,83.25,7.15,6.56,6.44,6.53,6.47,6.52,6.5,6.44,6.45,6.53,6.51,6.45,6.52,6.5,6.55,6.42,6.34,6.41,6.35,6.39,6.42
CLRSKY_SFC_SW_DWN,28.75,83.75,7.15,6.56,6.44,6.53,6.47,6.52,6.5,6.44,6.45,6.53,6.51,6.45,6.52,6.5,6.55,6.42,6.34,6.41,6.35,6.39,6.42
CLRSKY_SFC_SW_DWN,28.75,84.25,7.25,6.66,6.54,6.64,6.57,6.64,6.62,6.56,6.57,6.64,6.61,6.56,6.62,6.62,6.66,6.54,6.44,6.52,6.45,6.5,6.53
CLRSKY_SFC_SW_DWN,28.75,84.75,7.25,6.66,6.54,6.64,6.57,6.64,6.62,6.56,6.57,6.64,6.61,6.56,6.62,6.62,6.66,6.54,6.44,6.52,6.45,6.5,6.53
CLRSKY_SFC_SW_DWN,28.75,85.25,7.4,6.91,6.87,6.9,6.79,6.89,6.87,6.83,6.82,6.87,6.83,6.83,6.91,6.96,6.86,6.73,6.66,6.75,6.65,6.76,6.81
CLRSKY_SFC_SW_DWN,28.75,85.75,7.4,6.91,6.87,6.9,6.79,6.89,6.87,6.83,6.82,6.87,6.83,6.83,6.91,6.96,6.86,6.73,6.66,6.75,6.65,6.76,6.81
CLRSKY_SFC_SW_DWN,28.75,86.25,7.41,6.99,6.94,6.97,6.87,6.98,6.96,6.92,6.9,6.96,6.91,6.91,7.0,7.03,6.94,6.79,6.74,6.82,6.73,6.83,6.88
CLRSKY_SFC_SW_DWN,28.75,86.75,7.41,6.99,6.94,6.97,6.87,6.98,6.96,6.92,6.9,6.96,6.91,6.91,7.0,7.03,6.94,6.79,6.74,6.82,6.73,6.83,6.88
CLRSKY_SFC_SW_DWN,28.75,87.25,7.4,6.92,6.93,6.92,6.85,6.91,6.92,6.93,6.82,6.88,6.84,6.91,6.92,6.99,6.84,6.67,6.7,6.72,6.65,6.73,6.83
CLRSKY_SFC_SW_DWN,28.75,87.75,7.4,6.92,6.93,6.92,6.85,6.91,6.92,6.93,6.82,6.88,6.84,6.91,6.92,6.99,6.84,6.67,6.7,6.72,6.65,6.73,6.83
CLRSKY_SFC_SW_DWN,28.75,88.25,7.15,6.93,6.93,6.92,6.85,6.91,6.93,6.93,6.81,6.88,6.84,6.91,6.92,6.99,6.84,6.67,6.7,6.72,6.65,6.73,6.82
CLRSKY_SFC_SW_DWN,29.25,79.75,6.59,6.04,6.01,6.11,6.05,6.1,6.07,6.0,5.93,6.09,6.01,5.98,5.98,5.97,6.03,5.98,5.95,5.99,5.92,5.95,6.02
CLRSKY_SFC_SW_DWN,29.25,80.25,6.68,6.37,6.35,6.45,6.39,6.4,6.4,6.32,6.3,6.44,6.38,6.34,6.37,6.37,6.44,6.39,6.33,6.34,6.3,6.3,6.37
CLRSKY_SFC_SW_DWN,29.25,80.75,6.68,6.37,6.35,6.45,6.39,6.4,6.4,6.32,6.3,6.44,6.38,6.34,6.37,6.37,6.44,6.39,6.33,6.34,6.3,6.3,6.37
CLRSKY_SFC_SW_DWN,29.25,81.25,6.95,6.57,6.55,6.66,6.6,6.6,6.6,6.53,6.5,6.64,6.58,6.55,6.57,6.57,6.63,6.59,6.53,6.54,6.5,6.51,6.58
CLRSKY_SFC_SW_DWN,29.25,81.75,6.95,6.57,6.55,6.66,6.6,6.6,6.6,6.53,6.5,6.64,6.58,6.55,6.57,6.57,6.63,6.59,6.53,6.54,6.5,6.51,6.58
CLRSKY_SFC_SW_DWN,29.25,82.25,7.2,6.98,6.94,7.01,6.95,6.97,6.96,6.93,6.91,6.99,6.96,6.95,6.98,7.01,7.03,7.01,6.9,6.92,6.92,6.89,6.94
CLRSKY_SFC_SW_DWN,29.25,82.75,7.2,6.98,6.94,7.01,6.95,6.97,6.96,6.93,6.91,6.99,6.96,6.95,6.98,7.01,7.03,7.01,6.9,6.92,6.92,6.89,6.94
CLRSKY_SFC_SW_DWN,29.25,83.25,7.37,7.18,7.14,7.17,7.16,7.17,7.14,7.14,7.15,7.16,7.15,7.16,7.18,7.19,7.2,7.15,7.09,7.1,7.12,7.11,7.14
CLRSKY_SFC_SW_DWN,29.25,83.75,7.37,7.18,7.14,7.17,7.16,7.17,7.14,7.14,7.15,7.16,7.15,7.16,7.18,7.19,7.2,7.15,7.09,7.1,7.12,7.11,7.14
